Sample,Species,Taxon,10_0,2,3,12_0,5,13_0,7,8,14_0,10,14_1,12,15_0,14,15,16_0,16_1,18,17_0,17_1,21,18_0,18_1,24,25,18_2,27,18_3n6,29,30,18_3n3,32,33,20_0,20_1,20_2,37,20_3n6,39,20_4n6,20_3n3,42,43,44,20_5n3,22_0,47,22_1,49,50,51,22_2,53,22_4,55,22_5,24_0,22_6n4__24_1(comb),60
FA10_A,fa,frog,0.003693129,0,0,0.010199883,0,0,0,0,0.013808799,0.000772169,0.004823469,0.002119712,0.004225981,0.001974928,0.003973805,0.169128565,0.065417903,0.003964704,0.005279157,0.007007056,0.002550321,0.080167215,0.23903044,0,0,0.156177064,0,0.003521891,0,0,0.107660024,0.001800792,0,0.002375922,0.002896497,0.002401624,0,0.004773211,0,0.042798106,0.002048187,0,0,0.002830136,0.022933444,0,0,0,0,0,0,0,0,0.002810323,0,0.009892139,0,0.016943403,0
FA2_A,fa,frog,0,0,0,0,0,0.067289319,0,0,0.021313506,0,0,0,0,0,0,0.195242193,0.032678693,0,0,0,0,0.117436246,0.284182648,0,0,0.156974321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093526762,0,0,0,0,0.031356312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA3_A,fa,frog,0,0,0,0,0,0.096016001,0,0,0.014892061,0,0,0,0,0,0,0.185791546,0.044158025,0,0,0,0,0.096587178,0.257050993,0,0,0.154801937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086288149,0,0,0,0,0.041697339,0,0,0,0,0,0,0,0,0,0,0,0,0.022716771,0
FA4_A,fa,frog,0,0,0,0,0,0.064692053,0,0,0.015025101,0,0,0,0,0,0,0.180423703,0.07208567,0,0,0,0,0.088536543,0.213196117,0,0,0.183418887,0,0,0,0,0.013386666,0,0,0,0,0,0,0,0,0.102886764,0,0,0,0,0.036455895,0,0,0,0,0,0,0,0,0,0,0,0,0.0298926,0
FA5_A,fa,frog,0.001275447,0.000238199,0.000315537,0.006167373,0.000154156,0.000677106,0.000484179,0.003229926,0.017705404,0.000294257,0.002466662,0.001628919,0.005425002,0.001478513,0.00295579,0.168557532,0.077326141,0.003184623,0.006641362,0.008975228,0.002033811,0.057652378,0.270823667,0.003024222,0,0.162122737,0.000400202,0.00405898,0.001108404,0,0.058183039,0.001093202,0,0.003825166,0.005592532,0.003683455,0.002189517,0.006059545,0,0.040039758,0.002078346,0.001431625,0.003026721,0,0.029032631,0.001376917,0,0.000466061,0,0,0,0,0,0.003540594,0.000850281,0.009852505,0,0.017272347,0
FA6_A,fa,frog,0.003059299,0,0,0.009333521,0,0,0,0,0.011253228,0,0.001349907,0.000678861,0.004562714,0,0.002784673,0.179308355,0.050267573,0.002489322,0.005458098,0.004327139,0.001671654,0.07297819,0.25382609,0,0,0.148464987,0,0.003331818,0,0,0.123899637,0.000974172,0,0.002750359,0.003189428,0.00287714,0,0.004407182,0,0.042506247,0.003169735,0,0,0.00297663,0.029512676,0,0,0,0,0,0,0,0,0,0,0.009927305,0,0.018664059,0
FA7_A,fa,frog,0.002210103,0,0,0.007014974,0,0,0,0,0.009596802,0,0.00132176,0,0.004271913,0,0.002766937,0.171771164,0.056260305,0.001410473,0.004441855,0.004049326,0.001741268,0.068232929,0.271654605,0,0,0.135244486,0,0,0,0,0.14741983,0,0,0.001980049,0.002957448,0.002472123,0,0.004219528,0,0.040738486,0.003670023,0,0,0.003182814,0.023269555,0,0,0,0,0,0,0,0,0,0,0.011126887,0,0.016974356,0
FA8_A,fa,frog,0.001807864,0,0,0.007861876,0,0,0,0,0.013998197,0,0.00184246,0.000920009,0.004710667,0,0.002928829,0.163571386,0.090717386,0.001344523,0.005015944,0.005953963,0.002193294,0.063982427,0.282215109,0,0,0.148762102,0,0,0,0,0.058119758,0,0,0.001750769,0.003199033,0.002927433,0,0.005206432,0,0.050830195,0.002059407,0,0,0.00254395,0.031016452,0,0,0,0,0,0,0,0,0,0,0.011757692,0,0.032762842,0
FA9_A,fa,frog,0.002639862,0,0,0.0133539,0,0,0,0,0.021464559,0,0.002771439,0.0014259,0.005016768,0,0.004116058,0.170293535,0.079210406,0,0.005139347,0.004867706,0.002966929,0.06736274,0.281246,0,0,0.140475854,0,0,0,0,0.044591245,0,0,0,0.002780182,0.003283599,0,0.005986308,0,0.055917485,0,0,0,0.002817376,0.027989459,0,0,0,0,0,0,0,0,0,0,0.012507368,0,0.041775974,0
FL1_A,fl,frog,0.002110666,0.000829805,0,0.004957386,0.001521877,0.014769225,0,0.002800158,0.02667151,0.000832965,0.002357155,0.022366198,0.02130159,0.003439287,0.010096687,0.167232816,0.160678136,0.021775028,0.024270638,0.024091884,0.007222064,0.05268126,0.216324912,0.003735897,0.001282949,0.055122464,0,0.003167265,0.001377281,0.001906462,0.025931767,0.001011024,0.000595437,0.001456223,0.008560941,0.006174598,0.002839767,0.004804618,0,0.037871051,0.000728211,0,0,0.002659663,0.012792584,0.000853438,0,0,0,0,0,0,0,0.003553288,0.00824251,0.007534672,0,0.019466641,0
FP1_A,fp,frog,0.006045413,0,0,0,0,0.040126818,0,0,0.01447352,0,0,0,0.005717621,0,0,0.169102872,0.092950922,0,0.005759226,0,0,0.070456953,0.319661462,0,0,0.175924466,0,0,0,0,0.050817956,0,0,0,0,0,0,0,0,0.036629456,0,0,0,0,0.012333314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
