sample,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,taxon,species
FA1_A,1.367467003,-6.461641901,0.726526666,1.808163209,1.059038562,-1.287707589,-0.058090676,-0.95683293,0.727175333,0.081836277,frog,fa
FA10_A,2.169595109,-3.005574136,1.040189408,-0.609258911,1.697624117,0.771119111,-2.298780994,0.872001115,3.247796478,-1.128072777,frog,fa
FA2_A,1.371961769,-6.524603524,0.59969123,1.797226726,0.946189086,-1.121957414,-0.282870342,-0.997011975,1.121745164,-0.143160531,frog,fa
FA3_A,1.31626277,-6.513354516,0.639447545,1.803994074,0.415820195,-0.901446273,-0.207137647,-1.316213647,1.431337713,-0.167541863,frog,fa
FA4_A,1.25868645,-6.387145597,0.580256025,1.581983375,0.465473638,-0.645853684,-0.817184475,-1.140818798,1.789538791,-0.156592102,frog,fa
FA5_A,2.418214197,0.520132267,-1.908772573,-0.261839672,5.274638696,-2.173544654,-0.0329602,2.000208582,6.739620523,-0.340303431,frog,fa
FA6_A,2.36870307,-3.035066697,1.293730513,-0.540845476,1.733942225,1.15742117,-2.830681286,0.896586715,3.881774789,-1.021003849,frog,fa
FA7_A,2.671505475,-3.540822206,0.806189975,-0.250920733,1.566615333,1.321017003,-3.236096677,0.558229968,3.940182092,-0.615935614,frog,fa
FA8_A,2.245308828,-3.843733547,0.73878586,0.373578465,1.064712416,0.746737539,-1.657851367,0.503655657,2.366247646,-0.162432567,frog,fa
FA9_A,2.339857812,-4.078020384,0.864966825,0.319178505,0.90738682,0.661491603,-1.173107579,0.24378077,2.376330097,0.011337076,frog,fa
FL1_A,1.348396361,3.323615098,-2.582119511,-2.502887018,2.224468222,-2.143563588,0.247629746,0.192877347,0.781316174,-2.144768281,frog,fl
MFM1_A,-4.17195789,-2.021382611,-0.593741279,0.830918756,-2.481186696,-0.369812644,0.916074247,-0.233129592,0.12135629,-0.92238783,mollusc,fm
MFM10_A,-4.6166684,-0.7582833,0.020614676,-0.142904496,-0.37613327,-0.449870613,1.446904278,0.278830698,-0.122027048,-1.731244828,mollusc,fm
MFM2_A,-5.386633269,1.051059548,-0.827866233,0.619306265,-1.694306863,-0.867342212,0.473167496,-0.129809374,0.59594729,-1.324325737,mollusc,fm
MFM3_A,-8.004267509,0.89701131,-0.246655393,-2.426690335,2.853691689,3.077574761,0.684003578,0.308664559,0.395897405,1.553615479,mollusc,fm
MFM4_A,-6.479131471,-0.612107237,-0.522242623,-3.188200701,1.760486601,1.502878569,-0.367651879,0.576600644,0.101599117,-0.319059879,mollusc,fm
MFM5_A,-8.147976449,4.374382653,0.362505926,1.000448428,3.575090338,2.099649203,2.11671568,2.576561693,2.487095506,4.083575659,mollusc,fm
MFM6_A,-6.357672156,1.655658619,0.367904227,-1.484572851,2.023791288,1.89469709,0.513224762,1.080193439,0.628204415,0.817212003,mollusc,fm
MFM7_A,-6.915606672,-3.029153368,-1.620008528,-3.003997145,1.737372295,2.828349794,0.834792979,-2.352864566,-0.647393259,-0.573103835,mollusc,fm
MFM8_A,-7.819602313,0.407836893,-0.719826839,-2.6575041,2.066133262,2.674043838,0.59135697,0.175093122,0.430292726,1.170852349,mollusc,fm
